optimizer,evaluation_no,evaluation_iter_no,n_factors,reg_weight,rmse,time
Matern 2.5 + ucb (ip 1),1,10,0.9984049212627361,0.5337292384065714,0.853623,122.97587847709656
Matern 2.5 + ucb (ip 1),2,0,0.8649374200022873,0.8431682955493979,0.87334,16.178178071975708
Matern 2.5 + ucb (ip 1),2,1,0.01,0.01,0.884451,20.795058965682983
Matern 2.5 + ucb (ip 1),2,2,0.011307773579085889,0.9834608551034028,0.891241,25.37797212600708
Matern 2.5 + ucb (ip 1),2,3,0.766719694913477,0.6693440615244047,0.863023,40.60835385322571
Matern 2.5 + ucb (ip 1),2,4,0.9964898253713068,0.011266608063479748,0.950501,54.6613712310791
Matern 2.5 + ucb (ip 1),2,5,0.4898650178223432,0.9990625313206755,0.882896,66.23020958900452
Matern 2.5 + ucb (ip 1),2,6,0.01359024671518373,0.4715011688816322,0.8851,70.7919602394104
Matern 2.5 + ucb (ip 1),2,7,0.43713910842414117,0.010262168551295529,0.914673,79.5260374546051
Matern 2.5 + ucb (ip 1),2,8,0.9998952347311074,0.43537505022262435,0.849994,93.83407616615295
Matern 2.5 + ucb (ip 1),2,9,0.9953164072735531,0.9951738497119939,0.880063,108.306312084198
Matern 2.5 + ucb (ip 1),2,10,0.289778070410234,0.7077270845842923,0.8705,117.1920702457428
Matern 2.5 + ucb (ip 1),3,0,0.37697264195614955,0.48241286543693773,0.855666,9.831321716308594
Matern 2.5 + ucb (ip 1),3,1,1.0,1.0,0.880287,24.333682537078857
Matern 2.5 + ucb (ip 1),3,2,0.9842428269000304,0.011758273229904068,0.951329,41.47428774833679
Matern 2.5 + ucb (ip 1),3,3,0.015561392457384731,0.9972346744957792,0.890811,46.20846509933472
Matern 2.5 + ucb (ip 1),3,4,0.014714999617199513,0.010044751081872685,0.884451,50.78811955451965
Matern 2.5 + ucb (ip 1),3,5,0.5163404255745395,0.998758032166662,0.881982,60.53484797477722
Matern 2.5 + ucb (ip 1),3,6,0.999728594907549,0.5876987115127911,0.85664,74.88866901397705
Matern 2.5 + ucb (ip 1),3,7,0.01256690140269617,0.5116349402104796,0.885352,79.46944189071655
