optimizer,evaluation_no,evaluation_iter_no,n_factors,reg_weight,rmse,time
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,0,0.92747494345261,0.5138088707734717,0.911416,2.8883228302001953
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,1,0.010000000000000009,0.01,0.93184,3.562992572784424
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,2,0.01798464857638163,0.989171131001049,0.936104,4.2317376136779785
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,3,0.5423427657213435,0.5720509351367691,0.913627,6.196840763092041
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,4,0.9915575069829891,0.9983515726663512,0.920346,9.254623651504517
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,5,0.9701874066117124,0.010475255987470206,0.944811,12.20229196548462
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,6,0.010743156248995304,0.5058124667419857,0.930218,12.845087051391602
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,7,0.45568308850643846,0.013248555145397627,0.936013,14.609249114990234
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,8,0.5377309904554353,0.9985908535088601,0.922428,16.581220388412476
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,9,0.5540790988883,0.6069719528572107,0.916259,18.577611446380615
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),0,10,0.2712763369244202,0.46757818670218126,0.919312,19.91832733154297
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,0,0.3993522174180723,0.42645171600482046,0.915629,1.4559502601623535
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,1,1.0,1.0,0.920651,4.22212553024292
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,2,0.010906915827342222,0.9987061480371163,0.936197,4.86176061630249
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,3,0.99235935254028,0.013018289690066742,0.94213,7.8439881801605225
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,4,0.01001993856713085,0.016796102881026575,0.931671,8.48590898513794
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,5,0.5403243640202643,0.9980881533275514,0.922417,10.455396175384521
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,6,0.9974569405944028,0.5498194654253468,0.912148,13.177238702774048
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,7,0.010050801086785684,0.554962307457361,0.930829,13.811519622802734
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,8,0.5408535538551522,0.01059432013633016,0.9382,15.751380920410156
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,9,0.7293427910501025,0.7110892763653947,0.917017,18.188266277313232
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),1,10,0.7895102336279018,0.27732886173679594,0.914783,20.751656532287598
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,0,0.9055859912805166,0.8925426740850013,0.919616,2.8570687770843506
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,1,0.01,0.01,0.93184,3.5310263633728027
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,2,0.011345984711622402,0.9686333706072714,0.935936,4.172725200653076
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,3,0.8200629330855086,0.8342740090692932,0.917779,6.82073974609375
CustomKernel 2.5 s1e-3 sdi3 + ei (ip 1),2,4,0.5595887511409829,0.32968446979314414,0.914608,8.616480588912964
