n_factors,reg_weight,rmse
10,0.01,0.862376
10,0.02,0.858861
10,0.03,0.857792
10,0.04,0.859475
10,0.05,0.863342
10,0.06,0.868417
10,0.07,0.873685
10,0.08,0.87861
10,0.09,0.883187
10,0.1,0.887568
20,0.01,0.868342
20,0.02,0.858938
20,0.03,0.854633
20,0.04,0.855277
20,0.05,0.859368
20,0.06,0.865011
20,0.07,0.871062
20,0.08,0.876732
20,0.09,0.881475
20,0.1,0.88553
30,0.01,0.87435
30,0.02,0.860379
30,0.03,0.853783
30,0.04,0.853677
30,0.05,0.857799
30,0.06,0.863646
30,0.07,0.869557
30,0.08,0.874866
30,0.09,0.879534
30,0.1,0.883686
40,0.01,0.881051
40,0.02,0.862567
40,0.03,0.85355
40,0.04,0.852258
40,0.05,0.855835
40,0.06,0.861595
40,0.07,0.867775
40,0.08,0.873433
40,0.09,0.878378
40,0.1,0.882704
50,0.01,0.886347
50,0.02,0.864209
50,0.03,0.853502
50,0.04,0.851614
50,0.05,0.855093
50,0.06,0.86086
50,0.07,0.867109
50,0.08,0.872984
50,0.09,0.878125
50,0.1,0.882485
60,0.01,0.891138
60,0.02,0.865997
60,0.03,0.853944
60,0.04,0.85139
60,0.05,0.854542
60,0.06,0.860267
60,0.07,0.866578
60,0.08,0.872443
60,0.09,0.877595
60,0.1,0.882075
70,0.01,0.894065
70,0.02,0.866662
70,0.03,0.853744
70,0.04,0.850856
70,0.05,0.853837
70,0.06,0.859427
70,0.07,0.865676
70,0.08,0.871555
70,0.09,0.876765
70,0.1,0.88141
80,0.01,0.89595
80,0.02,0.867063
80,0.03,0.853497
80,0.04,0.850282
80,0.05,0.853133
80,0.06,0.858708
80,0.07,0.865008
80,0.08,0.871053
80,0.09,0.876449
80,0.1,0.881188
90,0.01,0.898176
90,0.02,0.868166
90,0.03,0.853935
90,0.04,0.850187
90,0.05,0.852719
90,0.06,0.858257
90,0.07,0.864648
90,0.08,0.87068
90,0.09,0.875962
90,0.1,0.880636
100,0.01,0.8996
100,0.02,0.868476
100,0.03,0.853735
100,0.04,0.8497
100,0.05,0.852027
100,0.06,0.857381
100,0.07,0.863679
100,0.08,0.869826
100,0.09,0.875366
100,0.1,0.880287
