optimizer,evaluation_no,evaluation_iter_no,n_factors,reg_weight,rmse,time
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),0,0,0.7679091985777785,0.35834090474083075,0.914196,1.5324723720550537
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),0,1,0.01,1.0,0.936787,2.268343210220337
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),0,2,0.028673325443074604,0.011482669384650616,0.92882,2.8998210430145264
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),0,3,0.24867281370903563,0.2564216199210887,0.918091,3.791720390319824
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),0,4,0.9959666996337255,0.9910727615440524,0.92258,5.401077508926392
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),0,5,0.9894000827392957,0.020016572878754642,0.946746,7.183948755264282
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),0,6,0.537993248872538,0.9996273528088194,0.925832,8.434062480926514
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),0,7,0.011114709485430729,0.5582510192088236,0.931965,9.040286779403687
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),0,8,0.5444405203003377,0.010837872958984697,0.942632,10.288984775543213
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),0,9,0.997694034570685,0.636328687922461,0.915286,11.884559631347656
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),0,10,0.42813705630213783,0.6611105709515394,0.916988,13.023608207702637
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),1,0,0.7938799637817815,0.2766440990248754,0.91763,1.5409636497497559
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),1,1,0.01,1.0,0.936787,2.169569969177246
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),1,2,0.014525979287378966,0.020826726223621278,0.930311,2.7652697563171387
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),1,3,0.3107334117499815,0.9590830678958949,0.927649,3.748859405517578
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),1,4,0.2297254270206619,0.7283513491930479,0.924288,4.6158270835876465
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),1,5,0.31374647009367007,0.9376841372540868,0.927275,5.6027398109436035
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),1,6,0.9904918024264119,0.9937328561025794,0.923002,7.417188882827759
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),1,7,0.9945771794660608,0.015075276246784123,0.94775,9.20185136795044
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),1,8,0.4690880001681686,0.012163120290202391,0.938866,10.366902351379395
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),1,9,0.9982140576008056,0.6448559315515011,0.915423,11.960118770599365
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),1,10,0.011638681624263741,0.36501343374016115,0.92985,12.573841094970703
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),2,0,0.22348061889182447,0.2815482981721555,0.918345,0.8461518287658691
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),2,1,1.0,1.0,0.922772,2.4646384716033936
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),2,2,0.01359000670042976,0.9583894099978417,0.936484,3.078315019607544
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),2,3,0.25134880422802514,0.854087235632355,0.926263,3.9786999225616455
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),2,4,0.9958295477611813,0.016981459183452372,0.945572,5.556809425354004
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),2,5,0.038035916254832464,0.01023778148163433,0.928478,6.191392421722412
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),2,6,0.998244979054665,0.5057725146671594,0.913821,7.7835307121276855
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),2,7,0.01324161507437682,0.4729994943455768,0.930904,8.387046575546265
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),2,8,0.5950418359157951,0.010638707256732063,0.945455,9.568766355514526
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),2,9,0.6436422839996915,0.9989592908066229,0.92376,10.7983980178833
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),2,10,0.6212565880804253,0.5599785705161872,0.914018,12.148690223693848
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),3,0,0.4233712962417036,0.43157792884907975,0.916411,1.0930628776550293
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),3,1,1.0,1.0,0.922772,2.7141904830932617
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),3,2,0.013886742614544676,0.9940109487967318,0.936746,3.3086588382720947
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),3,3,0.8319904649447244,0.518000530294875,0.914453,4.9197282791137695
CustomKernel 2.5 s1e-4 sdi3 + ucb (ip 1),3,4,0.05331762948368594,0.518002253749759,0.92678,5.575924396514893
