n_factors,reg_weight,rmse
10,0.0,
10,0.01,0.797029
10,0.02,0.793508
10,0.03,0.794979
10,0.04,0.799812
10,0.05,0.80727
10,0.06,0.815861
10,0.07,0.823572
10,0.08,0.830042
10,0.09,0.836438
20,0.0,
20,0.01,0.796204
20,0.02,0.789217
20,0.03,0.789675
20,0.04,0.795696
20,0.05,0.804536
20,0.06,0.814217
20,0.07,0.82202
20,0.08,0.827737
20,0.09,0.832983
30,0.0,
30,0.01,0.801742
30,0.02,0.789255
30,0.03,0.78787
30,0.04,0.793893
30,0.05,0.802858
30,0.06,0.812332
30,0.07,0.820437
30,0.08,0.826594
30,0.09,0.831948
40,0.0,
40,0.01,0.805923
40,0.02,0.789449
40,0.03,0.78658
40,0.04,0.792477
40,0.05,0.801543
40,0.06,0.811121
40,0.07,0.819711
40,0.08,0.826306
40,0.09,0.831878
50,0.0,
50,0.01,0.810383
50,0.02,0.789824
50,0.03,0.785427
50,0.04,0.791074
50,0.05,0.800364
50,0.06,0.810168
50,0.07,0.818994
50,0.08,0.825882
50,0.09,0.831496
60,0.0,
60,0.01,0.81425
60,0.02,0.790586
60,0.03,0.785252
60,0.04,0.790818
60,0.05,0.799914
60,0.06,0.809591
60,0.07,0.818579
60,0.08,0.825533
60,0.09,0.831148
70,0.0,
70,0.01,0.817139
70,0.02,0.791108
70,0.03,0.784781
70,0.04,0.790054
70,0.05,0.799191
70,0.06,0.808862
70,0.07,0.818088
70,0.08,0.825434
70,0.09,0.831247
80,0.0,
80,0.01,0.820744
80,0.02,0.791905
80,0.03,0.784658
80,0.04,0.789932
80,0.05,0.799221
80,0.06,0.80876
80,0.07,0.817847
80,0.08,0.825234
80,0.09,0.831039
90,0.0,
90,0.01,0.822635
90,0.02,0.792059
90,0.03,0.784238
90,0.04,0.789328
90,0.05,0.798649
90,0.06,0.80838
90,0.07,0.817638
90,0.08,0.82523
90,0.09,0.831104
100,0.0,
100,0.01,0.824431
100,0.02,0.792182
100,0.03,0.783837
100,0.04,0.788826
100,0.05,0.798078
100,0.06,0.807729
100,0.07,0.816925
100,0.08,0.82462
100,0.09,0.83071
